Date,Close,High,Low,Open,Volume
2000-01-04,22014.962890625,23543.779758029512,21128.24910753038,21770.352191840277,2341000
2000-01-05,20791.9140625,21831.509765625,20486.150620404413,21097.67750459559,1681900
2000-01-06,21403.4375,22565.338392857146,21097.67410714286,22565.338392857146,2995600
2000-01-07,22504.185546875,23604.933752972145,20914.215915845787,21097.673950195312,2708600
2000-01-10,22381.880859375,23238.018378586065,22076.11745965676,22932.254978867826,1547700
2000-01-11,22198.42578125,22993.41072658402,22198.42578125,22932.258038481406,1267800
2000-01-12,22320.73046875,22626.49389982877,21892.661665239728,22014.967037671235,1396000
2000-01-13,22014.962890625,22626.489637586805,21831.50486653646,22014.962890625,1743500
2000-01-14,21800.935546875,22443.038837876928,21403.443033397616,22014.969977208973,1375600
2000-01-17,22076.119140625,22198.424509825138,21464.592294624308,21464.592294624308,1217700
2000-01-18,22198.42578125,23604.937607610194,22198.42578125,22687.647286070936,2569900
2000-01-19,21403.4375,22198.422321428574,20914.216071428575,22198.422321428574,2117600
2000-01-20,22014.962890625,22014.962890625,21097.67277018229,21097.67277018229,1256400
2000-01-21,21219.98046875,21892.65996487752,20791.91169848703,21525.74387608069,1271100
2000-01-24,21464.58984375,21831.50590945513,20914.21574519231,21036.52110042735,1027200
2000-01-25,20455.568359375,21097.671402045966,20455.568359375,20914.21338985426,1145300
2000-01-26,20791.9140625,20791.9140625,20241.539866727944,20608.455997242647,783600
2000-01-27,20700.18359375,21097.67604089734,20180.38577824963,20486.1491991322,804700
2000-01-28,21311.708984375,21311.708984375,20669.605844243186,20975.369244305955,955300
2000-01-31,21219.98046875,21342.285831682275,20486.14829115634,20486.14829115634,1230300
2000-02-01,20791.9140625,21525.746323529413,20669.608685661766,20944.795783547797,1274200
2000-02-02,21464.58984375,21464.58984375,20853.063067574785,20883.639406383547,1027700
2000-02-03,21892.662109375,22014.96748428771,21158.829859898742,21709.204047005936,1068200
2000-02-04,21892.662109375,21892.662109375,21892.662109375,21892.662109375,0
2000-02-07,21403.4375,21709.200892857145,21097.67410714286,21097.67410714286,2192600
2000-02-08,21219.98046875,21586.89655754683,21097.67510581772,21097.67510581772,1433200
2000-02-09,20241.537109375,20975.369270439955,20180.384429286256,20975.369270439955,3708300
2000-02-10,19140.787109375,20058.0772264377,18743.294725314496,19935.771877496005,5010800
2000-02-11,17673.12890625,19140.793590506055,17581.399863483995,19140.793590506055,6473700
2000-02-14,16511.220703125,18009.461100260418,16205.457356770834,17428.5107421875,4719800
2000-02-15,16602.953125,16939.292875230203,16205.460692909759,16602.953125,6444500
2000-02-16,17428.51171875,17428.51171875,16633.526973684213,17000.443009868424,4123700
2000-02-17,18773.873046875,18957.33108967834,17367.361385382737,17428.514066317184,4609800
2000-02-18,17183.904296875,18773.874089468416,17183.904296875,18773.874089468416,2959100
2000-02-21,17092.173828125,17520.242582317755,16572.376055176657,16816.98677185823,1906900
2000-02-22,16511.220703125,17489.663411458336,16511.220703125,16572.373372395836,2054800
2000-02-23,16755.833984375,17306.208093350822,16511.223269274637,16816.98666315009,2539300
2000-02-24,17397.939453125,17642.550201147846,16878.14161357645,17061.599674593584,2935400
2000-02-25,16878.138671875,17245.05472995924,16878.138671875,17092.17303909081,1234700
2000-02-28,17122.748046875,17642.54575544085,16878.137360491073,17061.59537527902,2472400
2000-02-29,17306.2109375,17367.36362632509,16816.989426899294,17122.752871024735,2046200
2000-03-01,17306.2109375,17306.2109375,17306.2109375,17306.2109375,0
2000-03-02,17734.279296875,18040.042733028018,16878.14167564655,17306.210486260778,3649000
2000-03-03,16939.29296875,17917.735883912454,16878.140286552345,17734.277837319496,2223200
2000-03-06,17061.599609375,17183.904982918906,16908.717892445115,17122.75229614695,1747100
2000-03-07,16816.986328125,17061.597038352273,16633.528295454544,16816.986328125,1920900
2000-03-08,17183.904296875,17306.209665536033,16511.224769239325,16633.530137900358,2365500
2000-03-09,16511.220703125,17367.358072916668,16511.220703125,17153.32373046875,3804800
2000-03-10,16664.10546875,17061.59789277523,16511.223767201835,17061.59789277523,2473800
2000-03-13,15532.78125,16694.68220964567,15257.594180610236,16664.10586860236,2406400
2000-03-14,15807.9677734375,15960.849473374034,15288.16999365329,15532.780713551741,1896800
2000-03-15,15349.32421875,15624.51130633715,15043.56078809761,15593.934963271911,1686700
2000-03-16,15899.6943359375,16205.457688551684,15502.201977539062,15593.930983323316,1870400
2000-03-17,16266.615234375,16664.10771190672,16266.615234375,16572.378678630168,1900000
2000-03-20,16602.953125,16725.258488720072,16205.460692909759,16450.07142034991,1271300
2000-03-21,17795.4296875,17978.887725515462,16572.37610073024,16633.52878006873,3471200
2000-03-22,17550.8203125,18223.499836672472,17459.09128647648,17826.007390570558,2696800
2000-03-23,17489.66796875,17917.736765187936,17489.66796875,17611.97333916084,1786100
2000-03-24,18101.193359375,18651.567481788432,17061.5977948163,17581.395577095653,2108700
2000-03-27,18040.04296875,18284.653720868646,17520.245120497882,18162.34834480932,1393700
2000-03-28,18345.8046875,18345.8046875,17734.277864583335,17917.735911458334,2032400
2000-03-29,18773.873046875,18896.178408743894,18101.193556596092,18345.804280333876,2041100
2000-03-30,19599.435546875,20363.84410954563,18773.874299190717,18957.33235423167,2913200
2000-03-31,19263.091796875,19844.0421843998,18896.17576264881,18957.32843501984,1968700
2000-04-03,20180.3828125,20639.027876420452,19507.703385416666,20180.3828125,2777000
2000-04-04,20914.216796875,21219.980200338083,19630.010502330042,19630.010502330042,4220100
2000-04-05,20914.216796875,20914.216796875,20914.216796875,20914.216796875,0
2000-04-06,19263.091796875,20669.60326140873,19201.93912450397,20547.297916666666,2612000
2000-04-07,19568.853515625,20058.074853515627,18835.021508789065,19018.479510498048,1698400
