Date,Close,High,Low,Open,Volume
2000-01-04,8119.2890625,8119.2890625,6177.719938858695,6177.719938858695,5500
2000-01-05,7598.59521484375,7898.655885348614,7148.5042090864545,7898.655885348614,4200
2000-01-06,6874.92041015625,7501.517777449053,6874.92041015625,7501.517777449053,3500
2000-01-07,7236.75830078125,7898.656925852705,6627.81156571551,7898.656925852705,5800
2000-01-10,7430.9150390625,7678.023852713034,7298.5353174639995,7678.023852713034,1800
2000-01-11,7236.75830078125,7501.517750809832,7060.252000762195,7501.517750809832,3500
2000-01-12,7325.009765625,7325.009765625,7236.756635918675,7236.756635918675,4400
2000-01-13,7766.275390625,8295.794167258522,7501.516002308238,7501.516002308238,10400
2000-01-14,7589.771484375,8119.290425145349,7501.518327579942,8119.290425145349,4600
2000-01-17,7766.275390625,8692.933249733665,7289.708491654829,8692.933249733665,6800
2000-01-18,7413.2646484375,7413.2646484375,7280.884922572545,7280.884922572545,800
2000-01-19,6795.49267578125,7854.530495383523,6795.49267578125,7854.530495383523,4600
2000-01-20,6795.49267578125,6795.49267578125,6177.720614346591,6618.986372514205,1900
2000-01-21,6707.23974609375,6795.492900647615,6618.986591539885,6618.986591539885,2800
2000-01-24,6707.23974609375,7236.758673416941,6707.23974609375,6751.366323370683,1600
2000-01-25,6927.87255859375,7236.758596238058,6927.87255859375,7060.252289012739,1700
2000-01-26,7060.25244140625,7069.077756958009,6283.6246728515625,6283.6246728515625,500
2000-01-27,6618.986328125,7060.252083333334,6618.986328125,7060.252083333334,2700
2000-01-28,6618.986328125,6874.920466145833,6618.986328125,6707.239479166667,2200
2000-01-31,6618.986328125,6663.112903645833,6618.986328125,6618.986328125,3100
2000-02-01,6627.8115234375,6839.6190821092705,6618.986208492843,6618.986208492843,900
2000-02-02,6707.23974609375,6795.492900647615,6274.799288779811,6274.799288779811,3500
2000-02-03,7148.5048828125,7501.517469618056,6971.998589409722,6971.998589409722,7300
2000-02-04,7148.5048828125,7148.5048828125,7148.5048828125,7148.5048828125,0
2000-02-07,7369.13720703125,7589.770057541167,7148.504356521332,7148.504356521332,3800
2000-02-08,7104.3779296875,7325.010784646739,7104.3779296875,7325.010784646739,3900
2000-02-09,6821.9677734375,7060.2512532341525,6804.317145304415,7060.2512532341525,2500
2000-02-10,6980.82373046875,7060.251560524653,5912.960681939397,5912.960681939397,4100
2000-02-11,6883.74560546875,6883.74560546875,6618.986159104567,6618.986159104567,2500
2000-02-14,6574.85986328125,6971.999049653943,6539.558602270344,6539.558602270344,1000
2000-02-15,6707.23974609375,6795.492900647615,6010.039825118215,6010.039825118215,500
2000-02-16,5912.96142578125,6618.986670650653,5912.96142578125,6618.986670650653,4200
2000-02-17,5921.78662109375,6133.594190253586,5736.454998078893,5736.454998078893,5400
2000-02-18,5912.96142578125,6001.214581389925,5745.280430124767,6001.214581389925,4100
2000-02-21,5295.1884765625,5709.978240559896,5295.1884765625,5515.8213297526045,3900
2000-02-22,5383.44091796875,5648.200307377049,5383.44091796875,5648.200307377049,4300
2000-02-23,5489.3466796875,5824.708695488343,5392.2682014293605,5824.708695488343,3400
2000-02-24,5648.20166015625,5736.454811096191,5295.189056396484,5736.454811096191,3800
2000-02-25,5436.39453125,5639.376794592126,5392.267952262581,5639.376794592126,700
2000-02-28,5304.013671875,5383.441497244176,5295.188357945091,5295.188357945091,5300
2000-02-29,5471.69580078125,5471.69580078125,5145.159115895917,5145.159115895917,9200
2000-03-01,5471.69580078125,5471.69580078125,5471.69580078125,5471.69580078125,0
2000-03-02,5039.25439453125,5392.2669615737195,4942.175938594571,4942.175938594571,7200
2000-03-03,5206.93701171875,5251.063596563824,5074.557257183527,5074.557257183527,2700
2000-03-06,5515.822265625,5559.9488437499995,5074.556484375,5074.556484375,8200
2000-03-07,6336.57568359375,6336.57568359375,5559.948023209001,5559.948023209001,11300
2000-03-08,6354.2275390625,7280.885721842448,6354.2275390625,6618.987019856771,14600
2000-03-09,6442.47998046875,6442.47998046875,6045.3408035905395,6354.22683005137,5900
2000-03-10,5824.7080078125,6442.480069247159,5559.948552911932,6442.480069247159,3400
2000-03-13,6177.720703125,6345.401693638393,5912.961244419643,5912.961244419643,1600
2000-03-14,6265.9736328125,7104.378555512764,6177.720483054577,7104.378555512764,7000
2000-03-15,6186.544921875,6265.972745408345,5921.785510097182,6265.972745408345,4100
2000-03-16,6177.720703125,6186.546018415179,6027.6903431919645,6186.546018415179,2800
2000-03-17,6177.720703125,6177.720703125,5736.454938616072,5736.454938616072,3100
2000-03-20,5648.20166015625,6177.720565795898,5648.20166015625,6177.720565795898,1800
2000-03-21,5295.1884765625,5824.70732421875,5118.682194010416,5824.70732421875,3500
2000-03-22,5824.7080078125,5824.7080078125,5383.442249644887,5383.442249644887,3000
2000-03-23,5912.96142578125,6001.214581389925,5824.708270172575,5824.708270172575,2900
2000-03-24,5789.40673828125,6001.214301876906,5568.773859535775,5568.773859535775,400
2000-03-27,5559.94873046875,5789.406932043651,5559.94873046875,5789.406932043651,1000
2000-03-28,5665.8505859375,6089.4655830169395,5559.94683666764,5559.94683666764,3600
2000-03-29,5277.53857421875,6089.4675856370195,5277.53857421875,6089.4675856370195,5200
2000-03-30,5515.822265625,5824.7083125,5189.2855875,5189.2855875,3500
2000-03-31,5498.171875,5692.328827247191,5136.333918539326,5692.328827247191,1900
2000-04-03,5295.1884765625,5462.869444986979,5118.682194010416,5118.682194010416,4200
2000-04-04,5048.08203125,5295.190941870629,5030.431394777098,5295.190941870629,1600
2000-04-05,5048.08203125,5048.08203125,5048.08203125,5048.08203125,0
2000-04-06,4677.4169921875,5030.429595371462,4677.4169921875,5030.429595371462,3600
2000-04-07,4853.92236328125,5286.362719282671,4853.92236328125,4853.92236328125,1000
2000-04-10,5206.93701171875,5295.190181408898,5162.810426873676,5295.190181408898,1700
2000-04-11,4677.4169921875,5206.935896963443,4677.4169921875,5206.935896963443,3100
