Date,Close,High,Low,Open,Volume
2007-09-28,185103.921875,204419.1137228261,177860.7249320652,177860.7249320652,509746
2007-10-01,177056.0,187518.4,177056.0,185104.0,267416
2007-10-02,197175.96875,199187.96843112243,181884.77117346937,184299.1707908163,239345
2007-10-04,205223.9375,211662.33553921568,193956.74093137254,198785.53946078432,221500
2007-10-05,203211.96875,206833.5681930693,197175.9696782178,205223.96844059404,112563
2007-10-08,198785.578125,207235.97719509108,195566.378479251,207235.97719509108,122400
2007-10-09,192347.171875,198383.1709924163,188323.1724633891,198383.1709924163,179313
2007-10-10,202809.59375,205223.99367559524,193956.79402281746,194359.1940104167,138813
2007-10-11,206431.171875,210857.57127192983,201602.37253289475,202809.57236842104,127912
2007-10-12,218100.75,220515.14944649444,207638.35239852397,210052.75184501844,224055
2007-10-15,220112.75,224136.74908592322,213271.95155393053,224136.74908592322,89375
2007-10-16,219710.4375,222124.8379120879,214881.63667582418,216088.83688186813,78480
2007-10-17,215686.421875,218503.22216068098,208040.82109958024,216088.82191581157,134568
2007-10-18,232989.578125,235001.57793609673,215686.37974956824,218905.579447323,243934
2007-10-19,232989.578125,238220.77763385148,228965.57850280657,237415.97770941278,135169
2007-10-22,229367.9375,230575.13717105263,214479.14155701754,217698.34067982456,89734
2007-10-23,239427.96875,240635.16859243697,226953.57037815126,234599.1693802521,207455
2007-10-24,233794.359375,245463.95734724612,233794.359375,241439.9580464716,152206
2007-10-25,234599.171875,239025.57134433964,224539.17308104632,235001.57182675815,117261
2007-10-26,247475.953125,249085.55282012193,228563.15670731704,233391.95579268291,225373
2007-10-29,243049.515625,256328.7110151076,241439.91618377483,251097.51283112582,167023
2007-10-30,241439.90625,249487.90312499998,238623.10734375,249487.90312499998,97325
2007-10-31,240232.765625,243049.56522194305,237415.96602805695,240232.765625,64175
2007-11-01,249085.578125,249085.578125,239830.3789378029,243854.37858441033,113152
2007-11-02,240635.125,245061.52362040136,232587.1275083612,241439.92474916388,89542
2007-11-05,241037.59375,241037.59375,230977.59401085143,237415.99384390653,59600
2007-11-06,233391.953125,241439.95150862067,226148.75457974136,241037.55158943965,181969
2007-11-07,241439.90625,241439.90625,226148.7121875,234196.70906249998,113400
2007-11-08,221722.328125,237415.9230376588,219307.92890766787,233794.32421166063,130040
2007-11-09,238623.1875,239025.58747892073,228965.5880059022,230575.18792158514,142926
2007-11-12,230977.578125,237415.9775152439,226551.17854420733,237415.9775152439,71911
2007-11-13,226148.75,233794.34830960855,221319.95106761568,232587.14857651247,49300
2007-11-14,226551.1875,231782.38721136766,226551.1875,229367.98734458257,53071
2007-11-15,220515.171875,227758.37095118614,217698.37223426095,226551.1711051551,72344
2007-11-16,222527.171875,222527.171875,212467.17314647377,216893.57258702532,70375
2007-11-19,225343.96875,227758.36841517856,218905.56964285712,222527.169140625,63665
2007-11-20,216088.796875,223734.39676443202,214076.79690409685,219307.99682844506,63117
2007-11-21,211259.9375,219710.335,210052.73785714284,216088.73607142858,67616
2007-11-22,214881.53125,219710.32970505618,206833.53382490636,209247.93305243444,50409
2007-11-23,213271.96875,218905.5679245283,208443.16945754716,214881.56851415095,56780
2007-11-26,213271.96875,216491.1682783019,212467.16886792454,216491.1682783019,86600
2007-11-27,204419.15625,211259.9547859252,204419.15625,208443.15538877953,69824
2007-11-28,213674.375,218503.17443502825,207638.3757062147,207638.3757062147,69587
2007-11-29,222929.59375,223734.3937274368,214076.79399819495,218100.79388537904,82257
2007-11-30,226953.578125,229367.97789228725,219710.3788231383,222527.17855164007,52669
2007-12-03,227356.015625,229770.4157909292,222929.61532079647,226953.61559734514,32640
2007-12-04,227356.015625,228563.2157079646,222929.61532079647,223332.01534845133,36307
2007-12-05,229367.9375,230172.73728070175,224136.7389254386,225343.93859649124,31394
2007-12-06,227356.015625,234599.21612278762,224136.81540376108,230172.8158185841,60945
2007-12-07,223734.375,229367.9743705036,222929.57508992805,229367.9743705036,55477
2007-12-10,229367.9375,231782.33684210526,221319.93969298247,225343.93859649124,47345
2007-12-11,228965.609375,229770.40940795254,224539.209193761,229368.00939147628,47396
2007-12-12,227758.375,232989.57442579506,222124.77561837455,223734.37544169612,34189
2007-12-13,233391.953125,236611.15247844826,225343.9547413793,228160.75417564655,105900
2007-12-14,232184.75,237415.94887348352,230977.55025996533,233391.94974003464,34937
2007-12-17,225343.96875,235001.56741071428,223734.36897321427,229367.96819196426,39567
2007-12-18,231782.359375,231782.35937499997,219710.3614908854,222124.7610677083,27100
2007-12-20,229367.9375,231379.93695175438,226148.738377193,228965.53760964912,38831
2007-12-21,229367.9375,229367.9375,221722.33958333335,227758.3379385965,56381
2007-12-24,232587.203125,232587.203125,226953.60304930795,229368.0030817474,43062
2007-12-26,236611.09375,238220.69302721086,229770.29682185373,232587.09555697278,67800
2007-12-27,237415.984375,237415.984375,232184.78471927968,237415.984375,25512
2007-12-28,238220.765625,240232.7653346706,232587.16643792228,234599.16614759288,35147
2008-01-02,233794.359375,240635.1581863167,233794.359375,240635.1581863167,28711
2008-01-03,239025.578125,239025.578125,226953.57922979796,226953.57922979796,52735
2008-01-04,239025.578125,239830.37805134678,235403.9784564394,239830.37805134678,36878
2008-01-07,229367.9375,233794.33629385964,228563.13771929825,229367.9375,29886
2008-01-08,229367.9375,231379.93695175438,222929.53925438598,231379.93695175438,45291
2008-01-09,228563.15625,229367.9560959507,224539.15702024646,225343.95686619717,23179
2008-01-10,228965.609375,233392.009556239,225746.40924318982,230575.2094409051,42633
2008-01-11,218905.609375,231782.40992647057,214076.80916819852,228160.80977136947,40224
2008-01-14,216088.796875,218905.59683426443,214479.19689827747,214479.19689827747,44956
2008-01-15,217295.984375,218503.18428819443,209247.98495370368,215283.9845196759,55176
2008-01-16,217698.359375,224136.75817352123,212467.16035120146,214881.55990064694,39568
2008-01-17,217698.359375,228965.55727241217,217295.9594500924,222527.15847389092,29853
2008-01-18,217698.359375,219307.9590746303,211662.3605013863,217295.9594500924,19960
2008-01-21,216491.203125,220515.20318308548,213272.0030785316,216491.203125,23137
2008-01-22,212467.15625,216491.15542140152,206833.55741003787,212467.15625,33411
2008-01-23,222527.171875,222527.171875,206833.5738584991,217295.97253616637,46951
2008-01-24,216491.203125,226148.8032644052,216491.203125,220112.80317727695,23425
2008-01-25,208443.1875,218503.18689671817,203211.98781370657,218100.78692084944,130291
2008-01-28,209650.34375,218503.14137476007,207638.34428982725,208443.14407389637,73547
2008-01-29,216893.5625,217698.3623608534,210455.16361317254,210455.16361317254,40615
2008-01-30,221722.328125,226551.12655966423,218100.7292990018,221319.92825544465,90664
2008-01-31,231782.359375,231782.35937499997,217698.36184353297,220917.56127929685,59340
2008-02-01,228160.71875,231379.91760361553,225343.91975308643,230172.7180335097,32478
2008-02-04,237415.984375,238623.18429555086,228160.78498411019,228160.78498411019,103637
2008-02-05,230977.578125,237013.57755335365,229770.37823932926,237013.57755335365,35748
2008-02-11,230575.15625,235806.3552574171,226953.55693717278,228563.15663176266,51142
2008-02-12,232989.578125,233794.3780494387,226953.57869170984,230977.5783139033,35270
2008-02-13,232587.203125,237013.6031844723,227758.4030601211,237013.6031844723,29083
2008-02-14,222929.59375,233391.9934566787,222527.19376128158,233391.9934566787,61035
2008-02-15,220112.75,224941.54890310788,218503.15036563072,221319.94972577697,61334
2008-02-18,216088.796875,223734.39676443202,215283.99688663875,221319.99679934824,26366
2008-02-19,221319.9375,221722.33738636365,216491.13886363638,216491.13886363638,25531
2008-02-20,225343.96875,226953.5685267857,218905.56964285712,218905.56964285712,86675
2008-02-21,227758.375,229367.97482332154,222124.77561837455,227758.375,45496
2008-02-22,226953.578125,230977.5777371454,220515.1787455674,227758.37804742908,19365
2008-02-25,221319.9375,226148.73613636364,218905.5381818182,224941.53647727275,19630
2008-02-26,217698.359375,223331.9583237061,215283.9598255545,222124.75854898334,45600
2008-02-27,219307.9375,220515.1371559633,215686.3385321101,219710.33738532112,63889
2008-02-28,215686.421875,219710.42228311568,215284.02183418843,219710.42228311568,38780
2008-02-29,216088.796875,217295.9968575419,211662.39693901304,215686.39688081937,34875
2008-03-03,208443.1875,211662.38730694982,205223.9876930502,210052.7874034749,33247
2008-03-04,208845.59375,211662.39366570328,206431.19382225434,209247.99373795761,28908
2008-03-05,214479.15625,214479.15625,204821.55821998123,206833.55780956848,44473
2008-03-06,209247.921875,215686.31947115387,208443.1221754808,212064.72082331733,61143
2008-03-07,207638.34375,207638.34375,204016.74473110464,206028.7441860465,32426
2008-03-10,212467.15625,212869.55616714014,206028.75757575757,207638.35724431818,42030
2008-03-11,209247.921875,213674.32022235577,206833.52277644232,212064.72082331733,40589
2008-03-12,203211.96875,212064.76738861387,202004.76893564354,212064.76738861387,66165
2008-03-13,197175.96875,204821.56753826528,187518.37028061223,202809.56785714286,71776
2008-03-14,187115.984375,199992.78329973118,184299.18461021504,198785.58340053764,72234
2008-03-17,181482.375,183494.37472283814,177860.77549889137,182689.57483370288,46899
2008-03-18,178665.59375,183494.39358108107,177055.9938063063,181482.39365146396,50863
2008-03-19,182287.109375,190737.50517384105,180275.11037527592,183494.30877483444,80480
2008-03-20,180677.546875,187518.34486358575,173434.34900473274,187518.34486358575,21855
2008-03-21,178665.59375,185103.99352477476,174641.59389076577,183896.7935670045,54690
2008-03-24,184299.140625,186311.13997680132,180677.54179175766,183091.94101391922,35768
2008-03-25,175848.78125,186713.5800915332,171824.7816790618,184701.58030606408,133846
2008-03-26,177860.75,179470.34954751132,173031.95135746608,175848.75056561086,52247
2008-03-27,176653.546875,179872.74590689066,174641.54748006834,177860.746511959,53298
2008-03-28,173434.390625,176653.59045098608,170215.19079901392,176653.59045098608,53163
2008-03-31,177056.0,177056.0,171824.8,176251.19999999998,42011
2008-04-01,179872.71875,180275.11856823266,175446.32074944073,177055.92002237137,43722
2008-04-02,175043.953125,183091.95096982757,174239.15334051722,183091.95096982757,52763
2008-04-03,171824.75,176251.1487119438,171019.95023419205,174641.54918032786,93449
2008-04-04,178665.59375,179067.9937359234,172629.59396114864,173031.99394707207,78767
2008-04-07,181079.96875,183091.96840277777,178665.56916666668,179470.36902777778,54916
2008-04-08,181884.796875,182689.59686117255,178665.59693030972,181884.796875,65720
2008-04-10,186713.578125,187115.9780778556,179067.9790207435,181482.37873787715,54047
2008-04-11,189128.015625,189128.015625,183896.81519281917,188323.21555851065,48979
2008-04-14,190335.15625,190335.15625,184299.15763742072,186713.55708245243,31852
2008-04-15,189128.015625,191944.8158577128,185104.0152925532,191944.8158577128,31417
2008-04-16,189932.765625,190737.5654793432,186311.1662804555,189932.765625,56004
2008-04-17,187518.328125,192347.12627414163,186713.5284334764,191542.32658261803,48226
2008-04-18,190335.15625,190737.55615750529,186713.55708245243,187518.356897463,45599
2008-04-21,193956.8125,196371.21265560167,191542.41234439836,193152.0124481328,39355
2008-04-22,197175.96875,199992.7683035714,194359.16919642856,197175.96875,77169
