Date,Close,High,Low,Open,Volume
2017-10-31,165090.671875,177073.0593497984,165090.671875,170859.96954805107,81114
2017-11-01,159765.140625,165978.22942708334,159765.140625,160652.72473958333,58893
2017-11-02,152664.484375,159765.15806686046,151333.10805777617,158433.78174963663,39370
2017-11-03,150889.328125,153552.0809742647,150001.74384191178,151776.91240808825,33896
2017-11-06,147338.984375,150445.5292262801,146895.19225338855,149114.15286144576,38638
2017-11-07,150001.75,153995.87943786982,148226.58136094673,148226.58136094673,37818
2017-11-08,157546.1875,157989.97957746478,148226.55387323943,148226.55387323943,41470
2017-11-09,153995.859375,159765.15670028818,153995.859375,157546.19619056195,32950
2017-11-10,150889.328125,157102.41810661767,150445.5359834559,156658.62596507353,34304
2017-11-13,152220.703125,154439.66381195333,150001.74243804664,151776.91098760933,16804
2017-11-14,150889.328125,153108.2888327206,148670.36741727943,152664.49669117646,13378
2017-11-15,148226.5625,152664.48353293413,148226.5625,150889.3151197605,15432
2017-11-16,145120.03125,149114.1605504587,144676.2391055046,148670.3684059633,23883
2017-11-17,142901.0625,146451.39945652176,142013.47826086957,146007.60733695654,22838
2017-11-20,142457.28125,144232.44986370718,141125.90478971964,142901.0734034268,16033
2017-11-21,141125.890625,142901.05906053458,140682.09851611636,142457.26695165093,14661
2017-11-22,139794.515625,141569.68407738095,138463.13928571428,141125.89196428572,21901
2017-11-23,136244.171875,140682.09278298044,135800.37978420194,139794.50860138435,22954
2017-11-24,135800.375,140682.0878267974,135356.5829248366,138906.91952614379,27545
2017-11-27,132250.046875,136687.96791107382,132250.046875,135800.38370385906,42837
2017-11-28,132250.046875,134469.0073930369,132250.046875,132250.046875,31768
2017-11-29,130031.1015625,132693.85449552047,129143.51725149316,132250.06234001706,27780
2017-11-30,132693.84375,135800.38858695654,128255.92255434784,129587.29891304349,43474
2017-12-01,141125.890625,141569.68273388364,131362.46422955976,134025.21688286163,52454
2017-12-04,139350.71875,141125.88714171975,136244.17406449045,141125.88714171975,20540
2017-12-05,143344.859375,144676.23577786377,137575.56162925696,141569.6908378483,30481
2017-12-06,142013.484375,145120.02934570314,142013.484375,144676.23720703126,11411
2017-12-07,140238.328125,144232.45772349683,138019.36723694621,143788.6655458861,11729
2017-12-08,137131.78125,138906.9499393204,134025.23604368934,138906.9499393204,15051
2017-12-11,130918.65625,136244.16091101695,128699.69597457627,136244.16091101695,29026
2017-12-12,132693.84375,133137.63586956522,130031.0910326087,130918.67527173914,5816
2017-12-13,134469.0,134469.0,130918.66336633664,130918.66336633664,5143
2017-12-14,130474.8828125,134912.80399659864,130474.8828125,134469.01187818876,6413
2017-12-15,130474.8828125,134469.01187818876,130474.8828125,131362.46704931973,10928
2017-12-18,132250.046875,132250.046875,129587.29425335569,130031.08635696307,7350
2017-12-19,129587.2890625,132250.0415774829,129587.2890625,131806.24949165242,5554
2017-12-21,128699.703125,130031.07936422413,128699.703125,128699.703125,6056
2017-12-22,129143.515625,131362.47637457045,127368.34702534364,127368.34702534364,3737
2017-12-26,132250.046875,134912.7994966443,131362.46266778524,134025.21528942953,7303
2017-12-27,131165.15625,132943.66684322033,130720.52860169491,131609.7838983051,3869
2017-12-28,129831.2890625,130720.54446703767,129386.66136023117,130720.54446703767,5145
2018-01-02,130720.5390625,131609.79443027213,129831.2836947279,129831.2836947279,2105
2018-01-03,134722.1875,134722.1875,129831.28300330033,132054.42141089108,10133
2018-01-04,136056.0625,136500.69015522877,132054.41360294117,134277.55187908496,10999
2018-01-05,135611.4375,137389.9481557377,133388.29918032786,136500.69282786886,6793
2018-01-08,134722.1875,135166.81518151815,132499.04909240923,135166.81518151815,8970
2018-01-09,131609.8125,136056.08994932432,123606.51309121623,132943.6957347973,12765
2018-01-10,130720.5390625,132054.42211415817,128942.02832695578,130720.53906250001,9214
2018-01-11,131165.15625,131609.7838983051,128942.01800847457,131609.7838983051,3944
2018-01-12,131609.8125,132499.06798986488,130720.55701013515,131609.8125,8232
2018-01-15,130275.9140625,131609.79714163824,129386.65867640785,131165.16944859215,6298
2018-01-16,130275.9140625,131165.16944859215,129386.65867640785,129386.65867640785,2589
2018-01-17,133388.28125,133832.9088541667,130275.88802083334,130720.515625,7182
2018-01-18,139168.46875,139168.46875,132499.0533146965,132943.68101038339,15305
2018-01-19,140946.953125,141391.5807373817,137389.93222594637,139168.44267547317,15098
2018-01-22,140502.359375,142725.4979727057,137834.59305775317,140946.98709454114,14305
2018-01-23,145837.859375,145837.859375,140946.95555449696,141836.2107945884,20358
2018-01-24,149839.53125,149839.53125,144948.62666913946,145393.2543583086,23280
2018-01-25,153841.171875,155175.05486813583,148950.26756683527,149839.5228955925,21892
2018-01-26,153841.171875,157398.19319002892,151618.03355310694,152951.91654624278,12263
2018-01-29,154285.8125,156064.32330691643,150728.79088616715,153841.1847982709,13570
2018-01-30,155619.6875,159176.70892857143,155175.0598214286,155619.6875,19012
2018-01-31,155619.6875,158287.45357142857,154285.80446428573,155619.6875,10279
2018-02-01,156508.9375,157398.19282670453,152507.28852982953,156953.56516335226,8926
2018-02-02,155175.078125,157398.21678008596,154730.4503939828,156508.9613180516,10892
2018-02-05,153396.546875,155619.68523550723,148505.64248188405,154730.42989130435,17261
2018-02-06,152951.921875,154285.80491460755,146727.1343568314,149394.9004360465,18323
2018-02-07,145837.859375,153396.52891577742,145837.859375,153396.52891577742,13028
2018-02-08,148505.625,150284.13547904193,146282.4869011976,150284.13547904193,9511
2018-02-09,146727.140625,149839.53451704545,144059.37443181817,144059.37443181817,7601
2018-02-12,149394.921875,149839.54961867558,146727.15541294642,148505.6663876488,13369
2018-02-13,148505.625,152951.90119760478,148505.625,148950.2526197605,10615
2018-02-14,148505.625,149394.88023952095,143614.72118263473,144948.60404191617,10013
2018-02-19,150284.171875,151173.42732988167,148505.6609652367,148505.6609652367,6769
2018-02-20,150284.171875,151618.0550573225,149839.54414755918,149839.54414755918,6827
2018-02-21,152062.65625,152951.91154970758,148061.0074013158,149394.8903508772,5712
2018-02-22,152507.296875,153396.55225036442,150284.1584365889,150284.1584365889,5551
2018-02-23,152951.921875,153396.54955486918,151173.41115552327,151618.03883539245,6549
2018-02-26,151618.046875,154730.44079912023,151618.046875,151618.046875,8369
2018-02-27,152507.296875,153841.17993804664,151173.41381195336,152062.66918731778,9255
2018-02-28,154730.421875,155619.6771731322,151618.02833153735,151618.02833153735,7681
2018-03-02,155175.078125,156953.58904906877,152951.93946991404,153396.56720093123,7774
2018-03-05,159621.3125,160065.9401114206,154285.78116295265,154285.78116295265,15405
2018-03-06,159176.71875,161844.48498603352,158732.0910439944,159621.3464560056,11208
2018-03-07,155175.078125,160065.9831661891,155175.078125,158732.09997313755,5729
2018-03-08,154730.421875,155619.6771731322,150284.1453843391,154730.421875,9722
2018-03-09,155619.6875,156508.94285714286,153841.17678571428,153841.17678571428,6534
2018-03-12,157398.1875,159621.32574152542,155619.67690677964,155619.67690677964,3564
2018-03-13,160065.953125,160065.953125,157842.81488715278,159621.32547743057,4839
2018-03-14,157842.828125,160065.9665492958,157842.828125,160065.9665492958,4832
2018-03-15,156508.9375,159176.70348011365,155619.68217329544,157398.19282670453,5882
2018-03-16,153841.171875,159621.33151192198,153841.171875,156953.56552565028,4728
2018-03-19,152507.296875,156953.57375182214,148950.27537354227,153841.17993804664,10067
2018-03-20,151173.40625,154285.79990808823,150284.15091911764,151173.40625,7024
