Date,Close,High,Low,Open,Volume
2001-04-25,9847.109375,9847.109375,8584.659455128205,8584.659455128205,26100
2001-04-26,9847.109375,9847.109375,8584.659455128205,8584.659455128205,26100
2001-04-27,12949.12890625,12949.12890625,11975.23898850975,12949.12890625,2002100
2001-04-30,12985.2001953125,14067.300211588543,12624.500189887154,13634.460205078127,1296800
2001-05-01,12985.2001953125,12985.200195312502,12985.200195312502,12985.200195312502,0
2001-05-02,14932.98046875,14932.98046875,12804.850401947464,13345.90041893116,1081000
2001-05-03,14608.34765625,14932.977604166666,14247.64771412037,14932.977604166666,698700
2001-05-04,13598.390625,14211.580653183024,13418.040616710876,14067.300646551725,463800
2001-05-07,13598.390625,13598.390625,13598.390625,13598.390625,0
2001-05-08,13706.59765625,13706.59765625,13201.617742598684,13201.617742598684,396400
2001-05-09,13670.5302734375,13959.090279209267,13490.180269830144,13706.600274158971,136000
2001-05-10,15690.451171875,15690.451171875002,13562.321012931036,13670.531021012932,1047100
2001-05-11,17313.59765625,17818.577587890624,15942.937841796875,16015.07783203125,866400
2001-05-14,16736.48046875,17169.320480872844,16051.150449555495,16700.410467739763,644800
2001-05-15,17169.31640625,17566.086323201154,16375.77657234769,16808.61648174895,431100
2001-05-16,17097.1796875,17818.579674314347,16808.619692774264,17313.599683544304,240300
2001-05-17,17890.716796875,19189.23656439012,16808.616990612398,17385.736887285784,541600
2001-05-18,18720.328125,19333.518063583815,17710.368226156068,17710.368226156068,703600
2001-05-21,19333.517578125,20127.057478719686,19081.027609753964,19405.657569088155,294600
2001-05-22,19044.958984375,19838.49894205729,18467.839015151516,19333.51896898674,389200
2001-05-23,18684.259765625,18900.679762910233,18179.27977195946,18900.679762910233,358400
2001-05-24,19586.005859375,19838.495805996776,18179.276156767955,18179.276156767955,544800
2001-05-25,20163.130859375,20307.410865524373,19477.800830165474,19477.800830165474,442300
2001-05-28,19838.49609375,20487.75596590909,19477.796164772728,20163.126029829546,153000
2001-05-29,20848.453125,21641.9928633218,19838.493458044984,19838.493458044984,552700
2001-05-30,22796.23828125,23661.91821598101,20595.968447142008,20595.968447142008,626900
2001-05-31,22796.23828125,24888.29812351661,22002.698341079904,22724.09828668908,432800
2001-06-01,21641.99609375,23589.7757421875,21209.156171875,22796.235885416667,489500
2001-06-04,20307.408203125,22255.188030778198,19982.77823184947,21641.998085035524,256200
2001-06-05,19694.21875,20668.10868818681,19622.078754578753,19982.77873168498,332600
2001-06-06,19694.21875,19694.21875,19694.21875,19694.21875,0
2001-06-07,20415.6171875,20776.317137809187,19910.637257067137,19910.637257067137,325300
2001-06-08,21641.99609375,21930.556041666667,20415.61631510417,20920.596223958335,383800
2001-06-11,21641.99609375,21894.486048177085,21137.016184895834,21137.016184895834,129900
2001-06-12,21353.4375,21714.13745777027,21064.877533783783,21317.367504222973,89400
2001-06-13,21281.298828125,21281.298828125,20992.73884401483,20992.73884401483,111700
