Date,Close,High,Low,Open,Volume
2011-03-30,7836.2548828125,7886.167350924587,7436.955660072833,7536.780074139979,2659995
2011-03-31,7936.08203125,7961.038533341278,7836.257067199234,7936.08203125,1455888
2011-04-01,8135.73095703125,8210.599931924071,7836.256101774191,7886.168577650367,2565645
2011-04-04,8135.73095703125,8185.643432907427,8010.950028419364,8085.818481155074,1629426
2011-04-05,8010.94970703125,8110.774654778766,7961.037233157492,8035.905682889585,1172844
2011-04-06,7736.43017578125,7985.992523735006,7636.605236599747,7961.036550018152,1864862
2011-04-07,7561.73779296875,7836.256150931228,7536.781293795555,7836.256150931228,840299
2011-04-08,7362.087890625,7611.650271653203,7337.131913600735,7586.693772471826,1271925
2011-04-11,7436.95751953125,7486.870000122927,7312.176056973479,7387.045038939573,729464
2011-04-12,7312.1748046875,7511.824692862088,7262.2623326438525,7387.043773831505,557871
2011-04-13,7212.349609375,7337.131046216185,7137.481164995929,7287.218575911121,926245
2011-04-14,7137.48291015625,7237.307875174221,6937.832980120306,7187.395392665236,1263949
2011-04-15,7137.48291015625,7187.395392665236,7037.657945138278,7062.613925314182,905173
2011-04-18,6788.09423828125,7187.394022217108,6713.225267714738,7112.525051650595,1119929
2011-04-19,6987.744140625,7012.700116079508,6638.356829162334,6738.181775294524,1061636
2011-04-20,6937.83203125,7162.4379107430495,6912.875532330157,7112.525435060471,979094
2011-04-21,6738.18115234375,7012.699467749275,6713.224657039414,6987.743494601968,1230324
2011-04-22,7212.349609375,7337.131046216185,6763.137376629425,6788.093872860482,1746614
2011-04-25,7212.349609375,7486.868457131376,7162.437139069935,7362.087020290191,1486147
2011-04-26,7112.525390625,7237.306840130428,6937.831987905924,7212.3503413665,1324490
2011-04-27,7362.087890625,7486.8693422176575,7112.525509596796,7237.306961189453,1555561
2011-04-28,7486.8681640625,7536.780110256741,7312.174263754538,7362.086732105809,1200986
2011-04-29,7786.34326171875,7786.34326171875,7312.175024151205,7411.999971234592,1994884
2011-05-02,7861.212890625,7961.037846057789,7761.387935192211,7936.081346121027,1655883
2011-05-03,7811.29931640625,7886.167761392704,7686.517878552755,7861.211787116238,850021
2011-05-04,7711.47509765625,7886.168500433823,7511.825196106393,7861.212523818643,824350
2011-05-06,7561.73779296875,7636.606246174113,7486.869339763388,7611.65026915803,795248
2011-05-09,7362.087890625,7661.562747858843,7362.087890624999,7611.650271653203,678647
2011-05-11,7387.04443359375,7461.912887267445,7287.219480590747,7362.087934264441,657020
2011-05-12,7312.1748046875,7461.912220818442,7262.2623326438525,7337.131301787857,863997
2011-05-13,7112.525390625,7312.1752921080015,7112.525390624999,7287.219315501178,893671
2011-05-16,7087.568359375,7212.349268155696,6962.786928437277,7062.611864324645,722726
2011-05-17,7162.4365234375,7237.305483538415,7037.655619478651,7037.655619478651,441246
2011-05-18,7436.95751953125,7461.9134987485095,7187.395116572865,7237.307597164542,774899
2011-05-19,7387.04443359375,7561.737840270447,7212.350504759937,7536.781340941138,1805695
2011-05-20,7561.73779296875,7586.693769984834,7387.044387384831,7436.95686357411,755793
2011-05-23,7536.78076171875,7636.605707049931,7411.999841133313,7636.605707049931,595719
2011-05-24,7711.47509765625,7736.431074271431,7461.912720718929,7486.869219491214,676445
