Date,Close,High,Low,Open,Volume
2007-06-27,30619.802734375,31620.449882557186,29168.864369510822,31120.126308466093,6559871
2007-06-28,29018.765625,30419.671551724135,28868.66856142241,30269.57448814655,1761128
2007-06-29,28418.37890625,29919.349623129405,28318.314191791374,29018.767193001764,1144900
2007-07-02,28518.447265625,28768.60908374452,28118.18835663377,28268.28544750548,605419
2007-07-03,29869.318359375,29919.350718435926,28518.444664729897,28818.638819095475,1067955
2007-07-04,29769.25390625,30269.57750131303,29669.189187237396,30219.545141806724,606237
2007-07-05,29419.025390625,29619.15481505102,29118.831253985973,29368.993034518495,570849
2007-07-06,28868.67578125,29669.193653866983,28868.675781249996,29519.096552751296,508565
2007-07-09,29018.765625,29218.895043103446,28768.60385237069,28768.60385237069,449100
2007-07-10,29068.8046875,29519.095982142855,29018.77232142857,29168.869419642855,529867
2007-07-11,29419.025390625,29419.025390625,29018.766541772962,29068.798897879467,391310
2007-07-12,31020.064453125,31020.064453125,29268.931782384072,29419.028868447578,1260237
2007-07-13,32521.033203125,32771.1949969952,30669.83592848558,31520.386027644232,2134277
2007-07-16,33221.48828125,34072.03843302899,32020.71159638554,32721.16466255647,1212094
2007-07-18,33471.64453125,34072.03277396301,32821.22393497758,33221.482763452914,1038298
2007-07-19,34022.01171875,34022.01171875,33121.42905560662,33471.655646829044,523756
2007-07-20,33971.9765625,34222.13839285714,33371.588169642855,34122.07366071428,484453
2007-07-23,33871.90234375,33971.96704786743,33121.41706286928,33921.93469580872,378322
2007-07-24,33121.42578125,33821.87889444864,33021.36105079305,33671.781798763215,402467
2007-07-25,32370.935546875,33121.42091504057,32070.74139960877,32621.097336263523,590451
2007-07-26,31820.58203125,32971.32634999017,31420.323137775154,32521.03509483097,489630
2007-07-27,30869.970703125,31270.229642549635,30069.45282427573,30769.905968268842,504882
2007-07-30,30869.970703125,31070.100172837316,30169.517559131888,30419.679396272284,318582
2007-07-31,33471.64453125,33471.64453125,31020.059206838567,31120.1239139574,589377
2007-08-01,31570.412109375,33021.35022533676,31320.250365243657,32821.22083003169,359886
2007-08-02,31170.166015625,32270.878138167132,30269.583369908705,32120.78103054775,409772
2007-08-03,30919.998046875,31820.58051425971,30719.868609678397,31770.548154960557,330542
2007-08-06,30869.970703125,31420.326744833874,30169.517559131888,30169.517559131888,263706
2007-08-07,30719.873046875,31370.29381171112,30569.77594729744,31270.22907865941,238743
2007-08-08,31420.314453125,31470.346800980296,30669.829235295583,30919.990974572058,433847
2007-08-09,30970.037109375,31820.587401554927,30769.907628862078,31820.587401554927,239450
2007-08-10,29869.318359375,30519.73902716708,29569.12420500942,30319.609590923363,295459
2007-08-13,29318.9609375,29969.381572632254,28918.702085110923,29919.34921608362,290282
2007-08-14,29218.896484375,29769.25241130672,28768.60527143086,29318.961198362584,198740
2007-08-16,27117.533203125,27968.083137540358,26517.145014125923,27968.083137540358,636446
2007-08-17,26016.822265625,27517.792780949516,26016.822265624996,27267.63102839543,419749
2007-08-20,27517.796875,27817.991022727274,26667.24678977273,26767.31150568182,222529
2007-08-21,26967.44140625,27717.92678861317,26917.409047425786,27667.894429788957,196233
2007-08-22,27567.826171875,27567.826171875,26967.437943086432,27167.56735268262,215969
2007-08-23,28618.509765625,28718.574485085228,27968.089089133526,28168.218528053978,222411
2007-08-24,28618.509765625,28618.509765625004,27918.05672940341,28468.41268643466,99427
2007-08-27,28018.125,29268.934151785714,27717.930803571428,29118.837053571428,189409
2007-08-28,27817.9921875,28168.218707846223,27417.733307104318,27717.92746740108,150396
2007-08-29,27517.796875,27617.861590909095,26617.214431818185,26717.279147727277,377098
2007-08-30,28668.537109375,28768.601811327444,27767.95479180301,27767.95479180301,346507
2007-08-31,28818.642578125,28918.707309299043,28368.351287841793,28418.383653428817,206368
2007-09-03,29268.92578125,29268.92578125,28768.602263621797,28918.699318910258,148000
2007-09-04,28618.509765625,29619.156960227276,28618.509765625004,29168.865722656254,104149
2007-09-05,28718.57421875,28968.736015080573,28568.477140951654,28918.703655814457,162479
